Company,Faculty,Major,Major Code,Company Address,Latitude,Longitude,Count
Everstudio Sdn. Bhd.,FCI,Software Engineering,TB08,"No 33-1, Jalan MH 1, Taman Muzaffar Heights, 75450 Ayer Keroh, Melaka.",2.2569718,102.2846139,1
Excetera Marketing,FCI,Game Development,TB11,"D22-10, Main Place Residence, Jalan USJ21/10, USJ 21, 47640 Subang Jaya, Selangor",3.025988,101.5816259,1
ExxonMobil Business Support Centre Malaysia Sdn Bhd,FCI,Software Engineering,TB08,"No 7, Jalan Pahlawan 1/2, Tun Osman Jiwa , Jalan Padang Tembak, 50634 Kuala Lumpur",3.1794574,101.7286156,1
FGV PRODATA SYSTEMS SDN. BHD,FCI,Software Engineering,TB08,"4808-27-2, CBD Perdana, 2, Persiaran Flora, Cyber 12, 63000 Cyberjaya, Selangor",2.9244593,101.6508849,1
FIRMUS SDN BHD,FCI,Cybersecurity,TB10,"Level 15, Hampshire Place 157 Hampshire, Jalan Mayang Sari, 50450 Kuala Lumpur",3.162999,101.7163483,1
FLOW STUDIOS SDN BHD,FCI,Software Engineering,TB08,"C2-2-8, Blok C2, CBD Perdana 3, Cyber 12, 63000 Cyberjaya, Selangor Darul Ehsan",2.9256997,101.6499862,2
FLOW STUDIOS SDN BHD,FCI,Information System,TB13,"C2-2-8, Blok C2, CBD Perdana 3, Cyber 12, 63000 Cyberjaya, Selangor Darul Ehsan",2.9256997,101.6499862,1
FSBM SOLUTIONS SDN BHD,FCI,Cybersecurity,TB10,"A-2-11, Glomac Damansara, No. 699, Jalan Damansara, 60000 Kuala Lumpur.",3.1334209,101.6301314,1
FUSIONEX,FCI,Data Science,TB09,"Level 12, Tower A Plaza 33 No. 1 Jalan Kemajuan Section 13 46200 Petaling Jaya Selangor, Malaysia",3.1098682,101.6382911,1
Faculty of Management at MMU Cyberjaya,FCI,Information System,TB13,"Persiaran Multimedia, 63100 Cyberjaya, Selangor",2.9237915,101.661545,1
Fancy Deals,FCI,Software Engineering,TB08,"No.28 Jalan Suria, Taman Prima Suria, Batu 9, 43200 Cheras",3.066227,101.7720029,1
Feets Sdn. Bhd,FCI,Data Science,TB09,"B-04-05, Block B, Tamarind Square, Persiaran Multimedia, 63000
 Cyberjaya, Selangor.",2.9196975,101.6370896,1
Fermion Labs Sdn Bhd,FCI,Software Engineering,TB08,"Lot 5.04, 5th Floor, Menara 1, Faber Towers, Jalan Desa Bahagia, Taman Desa, 58100, Kuala Lumpur, Malaysia",3.1021618,101.684822,2
Fiscal Digest Sdn Bhd,FCI,Cybersecurity,TB10,"Fiscal Digest Sdn. Bhd.
 4801-3A-01, CBD Perdana 1
 Persiaran Flora,
 Off Persiaran Multimedia
 63000 Cyberjaya
 Selangor Darul Ehsan",2.9228989,101.6513165,1
Fiscal Digest Sdn Bhd,FCI,Information System,TB13,"Fiscal Digest Sdn. Bhd.
 4801-3A-01, CBD Perdana 1
 Persiaran Flora,
 Off Persiaran Multimedia
 63000 Cyberjaya
 Selangor Darul Ehsan",2.9228989,101.6513165,2
